Entity Name,Property Name,Mandatory,Property Type
Package,ordId,true,string
Package,localId,false,string
Package,title,true,string
Package,shortDescription,true,string
Package,description,true,string
Package,version,true,string
Package,policyLevel,false,string
Package,customPolicyLevel,false,string
Package,policyLevels,false,array<string>
Package,packageLinks,false,array<PackageLink>
Package,links,false,array<Link>
Package,licenseType,false,string
Package,supportInfo,false,string
Package,vendor,true,string
Package,partOfProducts,false,array<string>
Package,countries,false,array<string>
Package,lineOfBusiness,false,array<string>
Package,industry,false,array<string>
Package,runtimeRestriction,false,string
Package,tags,false,array<string>
Package,labels,false,Labels
Package,documentationLabels,false,DocumentationLabels
Consumption Bundle,ordId,true,string
Consumption Bundle,localId,false,string
Consumption Bundle,correlationIds,false,array<string>
Consumption Bundle,title,true,string
Consumption Bundle,shortDescription,false,string
Consumption Bundle,description,false,string
Consumption Bundle,version,false,string
Consumption Bundle,lastUpdate,false,string
Consumption Bundle,visibility,false,string
Consumption Bundle,credentialExchangeStrategies,false,array<CredentialExchangeStrategy>
Consumption Bundle,links,false,array<Link>
Consumption Bundle,tags,false,array<string>
Consumption Bundle,labels,false,Labels
Consumption Bundle,documentationLabels,false,DocumentationLabels
Consumption Bundle Reference,ordId,true,string
Consumption Bundle Reference,defaultEntryPoint,false,string
API Resource,ordId,true,string
API Resource,localId,false,string
API Resource,correlationIds,false,array<string>
API Resource,title,true,string
API Resource,shortDescription,true,string
API Resource,description,true,string
API Resource,partOfPackage,true,string
API Resource,partOfGroups,false,array<string>
API Resource,partOfConsumptionBundles,false,array<ConsumptionBundleReference>
API Resource,defaultConsumptionBundle,false,string
API Resource,partOfProducts,false,array<string>
API Resource,version,true,string
API Resource,lastUpdate,false,string
API Resource,visibility,true,string
API Resource,releaseStatus,true,string
API Resource,disabled,false,boolean
API Resource,deprecationDate,false,string
API Resource,sunsetDate,false,string
API Resource,successors,false,array<string>
API Resource,changelogEntries,false,array<ChangelogEntry>
API Resource,entryPoints,false,array<string>
API Resource,direction,false,string
API Resource,apiProtocol,true,string
API Resource,resourceDefinitions,false,array<ApiResourceDefinition>
API Resource,implementationStandard,false,string
